,Value,Date,State
174,43.3,2021/02/15,MS
175,32.1,2021/02/15,MT
176,38.9,2021/02/15,NC
177,35.5,2021/02/15,ND
178,35.9,2021/02/15,NE
179,32.6,2021/02/15,NH
180,38.8,2021/02/15,NJ
181,42.9,2021/02/15,NM
182,44.0,2021/02/15,NV
183,41.8,2021/02/15,NY
184,36.4,2021/02/15,OH
185,38.7,2021/02/15,OK
186,45.1,2021/02/15,OR
187,35.4,2021/02/15,PA
188,38.1,2021/02/15,RI
189,38.8,2021/02/15,SC
190,30.9,2021/02/15,SD
191,40.6,2021/02/15,TN
192,39.9,2021/02/15,TX
193,40.2,2021/02/15,UT
194,38.7,2021/02/15,VA
195,38.7,2021/02/15,VT
196,40.9,2021/02/15,WA
197,36.7,2021/02/15,WI
198,41.8,2021/02/15,WV
199,29.2,2021/02/15,WY
200,35.6,2021/03/01,AK
201,36.5,2021/03/01,AL
202,39.7,2021/03/01,AR
203,38.9,2021/03/01,AZ
204,41.5,2021/03/01,CA
205,37.6,2021/03/01,CO
206,40.6,2021/03/01,CT
207,33.7,2021/03/01,DE
208,38.5,2021/03/01,FL
209,40.7,2021/03/01,GA
210,34.6,2021/03/01,HI
211,34.3,2021/03/01,IA
212,35.9,2021/03/01,ID
213,38.2,2021/03/01,IL
214,38.8,2021/03/01,IN
215,31.5,2021/03/01,KS
216,45.9,2021/03/01,KY
217,42.5,2021/03/01,LA
218,39.7,2021/03/01,MA
219,36.8,2021/03/01,MD
220,36.8,2021/03/01,ME
221,38.3,2021/03/01,MI
222,27.8,2021/03/01,MN
223,37.8,2021/03/01,MO
224,45.8,2021/03/01,MS
225,31.1,2021/03/01,MT
226,38.8,2021/03/01,NC
227,30.1,2021/03/01,ND
228,25.5,2021/03/01,NE
229,34.4,2021/03/01,NH
230,38.0,2021/03/01,NJ
231,42.5,2021/03/01,NM
232,46.5,2021/03/01,NV
233,38.7,2021/03/01,NY
234,38.3,2021/03/01,OH
235,42.2,2021/03/01,OK
236,41.2,2021/03/01,OR
237,38.3,2021/03/01,PA
238,38.5,2021/03/01,RI
239,36.6,2021/03/01,SC
240,31.3,2021/03/01,SD
241,43.5,2021/03/01,TN
242,40.9,2021/03/01,TX
243,36.8,2021/03/01,UT
244,37.0,2021/03/01,VA
245,37.2,2021/03/01,VT
246,40.1,2021/03/01,WA
247,30.4,2021/03/01,WI
248,39.1,2021/03/01,WV
249,38.1,2021/03/01,WY
250,35.6,2021/03/15,AK
251,38.1,2021/03/15,AL
252,47.2,2021/03/15,AR
253,38.0,2021/03/15,AZ
254,39.7,2021/03/15,CA
255,42.3,2021/03/15,CO
256,33.3,2021/03/15,CT
257,32.4,2021/03/15,DE
258,38.7,2021/03/15,FL
259,33.2,2021/03/15,GA
260,30.6,2021/03/15,HI
261,33.3,2021/03/15,IA
262,34.9,2021/03/15,ID
